G, Fitness
0, 0.572335
1, 0.572335
2, 0.534687
3, 0.515266
4, 0.407152
5, 0.375262
6, 0.320806
7, 0.312896
8, 0.291981
9, 0.249656
10, 0.239338
11, 0.221169
12, 0.181411
13, 0.181411
14, 0.181411
15, 0.167379
16, 0.164461
17, 0.164461
18, 0.161306
19, 0.150941
20, 0.150941
21, 0.150941
22, 0.137957
23, 0.137957
24, 0.137957
25, 0.137957
26, 0.137957
27, 0.134676
28, 0.134676
29, 0.134676
30, 0.134676
31, 0.131054
32, 0.130347
33, 0.130347
34, 0.130347
35, 0.130347
36, 0.130347
37, 0.130347
38, 0.127846
39, 0.127242
40, 0.127242
41, 0.127242
42, 0.127242
43, 0.127242
44, 0.125902
45, 0.125902
46, 0.125902
47, 0.125771
48, 0.125771
49, 0.125771
50, 0.123582
51, 0.123582
52, 0.123582
53, 0.123582
54, 0.123582
55, 0.123582
56, 0.123582
57, 0.123244
58, 0.121281
59, 0.121281
60, 0.121281
61, 0.116257
62, 0.116257
63, 0.116257
64, 0.116257
65, 0.116257
66, 0.113049
67, 0.113049
68, 0.111342
69, 0.111342
70, 0.111342
71, 0.109766
72, 0.109766
73, 0.109766
74, 0.109766
75, 0.109766
76, 0.105932
77, 0.105932
78, 0.105932
79, 0.105932
80, 0.105932
81, 0.105932
82, 0.105932
83, 0.105932
84, 0.105932
85, 0.105932
86, 0.105932
87, 0.105932
88, 0.105932
89, 0.105932
90, 0.105932
91, 0.105932
92, 0.105932
93, 0.105932
94, 0.105932
95, 0.105932
96, 0.105932
97, 0.105932
98, 0.104245
99, 0.104245
100, 0.104245
101, 0.101592
102, 0.101592
103, 0.101592
104, 0.101592
105, 0.101592
106, 0.101592
107, 0.101592
108, 0.101592
109, 0.101592
110, 0.101592
111, 0.101592
112, 0.101592
113, 0.101592
114, 0.101592
115, 0.101592
116, 0.101592
117, 0.101592
118, 0.101592
119, 0.101592
