G, Fitness
0, 0.637436
1, 0.600687
2, 0.580984
3, 0.520244
4, 0.515837
5, 0.513349
6, 0.510048
7, 0.490951
8, 0.490951
9, 0.445078
10, 0.434635
11, 0.428528
12, 0.428528
13, 0.416692
14, 0.388013
15, 0.366554
16, 0.360967
17, 0.351383
18, 0.325579
19, 0.325579
20, 0.325579
21, 0.293433
22, 0.239593
23, 0.239593
24, 0.239593
25, 0.239593
26, 0.239593
27, 0.239586
28, 0.232638
29, 0.232638
30, 0.232638
31, 0.216056
32, 0.216056
33, 0.216056
34, 0.216056
35, 0.202823
36, 0.202823
37, 0.202823
38, 0.200877
39, 0.200877
40, 0.181982
41, 0.181982
42, 0.181982
43, 0.179775
44, 0.160705
45, 0.160705
46, 0.160705
47, 0.141318
48, 0.141318
49, 0.140402
50, 0.140402
51, 0.140402
52, 0.119603
53, 0.119603
54, 0.119603
55, 0.119603
56, 0.119603
57, 0.0838372
58, 0.0838372
59, 0.0837579
60, 0.0837579
61, 0.0791148
62, 0.0791148
63, 0.073009
64, 0.073009
65, 0.0729873
66, 0.0721741
67, 0.0707606
68, 0.0693988
69, 0.0665647
70, 0.0665647
71, 0.0665647
72, 0.0665647
73, 0.0603453
74, 0.0593361
75, 0.0593361
76, 0.0553501
77, 0.0553501
78, 0.0553501
79, 0.0553501
80, 0.0553501
81, 0.0553501
82, 0.0517924
83, 0.0516148
84, 0.0516148
85, 0.0516148
86, 0.0516148
87, 0.0478011
88, 0.0478011
89, 0.0478011
90, 0.0478011
91, 0.0478011
92, 0.0478011
93, 0.0455746
94, 0.0455746
95, 0.0439957
96, 0.0439957
97, 0.0439957
98, 0.0439957
99, 0.0396935
100, 0.0396935
101, 0.0396935
102, 0.0396935
103, 0.0396935
104, 0.0396935
105, 0.0388437
106, 0.0344351
107, 0.0344351
108, 0.0344351
109, 0.0344351
110, 0.0344351
111, 0.0333225
112, 0.0333225
113, 0.0326266
114, 0.0326266
115, 0.0326266
116, 0.0319093
117, 0.0319093
118, 0.0319093
119, 0.0319093
