G, Fitness
0, 0.701327
1, 0.701327
2, 0.650544
3, 0.597577
4, 0.552846
5, 0.514222
6, 0.492243
7, 0.481768
8, 0.45015
9, 0.440882
10, 0.41564
11, 0.41564
12, 0.41516
13, 0.393754
14, 0.373548
15, 0.373548
16, 0.366066
17, 0.342264
18, 0.324412
19, 0.324412
20, 0.32066
21, 0.32066
22, 0.32066
23, 0.299813
24, 0.297201
25, 0.29256
26, 0.276921
27, 0.276921
28, 0.276921
29, 0.261187
30, 0.237697
31, 0.234573
32, 0.213081
33, 0.213081
34, 0.18602
35, 0.18602
36, 0.178806
37, 0.178806
38, 0.166817
39, 0.166817
40, 0.166817
41, 0.148963
42, 0.148963
43, 0.148963
44, 0.148452
45, 0.145495
46, 0.136835
47, 0.136835
48, 0.136835
49, 0.128628
50, 0.128628
51, 0.128628
52, 0.128628
53, 0.128628
54, 0.128628
55, 0.120052
56, 0.120052
57, 0.113423
58, 0.104657
59, 0.104657
60, 0.104657
61, 0.104657
62, 0.0938818
63, 0.0938818
64, 0.0938818
65, 0.0787932
66, 0.0753172
67, 0.0753172
68, 0.0728342
69, 0.0705451
70, 0.0705451
71, 0.0705451
72, 0.0565968
73, 0.0565968
74, 0.0565968
75, 0.0565968
76, 0.0565968
77, 0.0565968
78, 0.0565968
79, 0.0513679
80, 0.0513679
81, 0.0513679
82, 0.0513679
83, 0.0508237
84, 0.0508237
85, 0.0508237
86, 0.0508237
87, 0.0490538
88, 0.0490538
89, 0.0489243
90, 0.0489243
91, 0.0488645
92, 0.0487656
93, 0.0487656
94, 0.0471819
95, 0.0471819
96, 0.0465519
97, 0.0455461
98, 0.0455461
99, 0.0455461
100, 0.0426047
101, 0.0426047
102, 0.0387021
103, 0.0373109
104, 0.032013
105, 0.032013
106, 0.032013
107, 0.032013
108, 0.032013
109, 0.032013
110, 0.0315595
111, 0.0315595
112, 0.0315595
113, 0.0289247
114, 0.0289247
115, 0.0278949
116, 0.0278949
117, 0.0278949
118, 0.0278949
119, 0.0278949
