G, Fitness
0, 0.9290022500000003
1, 0.7682814500000001
2, 0.6279133
3, 0.6030312
4, 0.5745562
5, 0.5501505
6, 0.5269807
7, 0.50613405
8, 0.4922454
9, 0.48629434999999993
10, 0.4790061499999999
11, 0.46885875000000005
12, 0.4498355
13, 0.4279509
14, 0.41089305
15, 0.38728615000000005
16, 0.36838695
17, 0.3369899
18, 0.31267485
19, 0.28532395
20, 0.2734524
21, 0.2672409
22, 0.26358285000000004
23, 0.26067285000000007
24, 0.2525508
25, 0.24201525000000004
26, 0.23683800000000002
27, 0.2246614
28, 0.21154235
29, 0.19911005
30, 0.19674905
31, 0.19462800000000002
32, 0.19012739999999997
33, 0.18856509999999996
34, 0.18079744999999997
35, 0.17168269999999997
36, 0.16550645
37, 0.1606759
38, 0.15770389999999998
39, 0.15558339999999998
40, 0.149385
41, 0.1460281
42, 0.1441885
43, 0.1436799
44, 0.14155754999999998
45, 0.13985935
46, 0.1386883
47, 0.13760365
48, 0.1362338
49, 0.1354857
50, 0.135257
51, 0.1343281
52, 0.13287140000000003
53, 0.13265435
54, 0.13204535
55, 0.13160905
56, 0.13096565
57, 0.13025989999999998
58, 0.12942394999999998
59, 0.12877834999999999
60, 0.12864735
61, 0.12864735
62, 0.12796214999999997
63, 0.12796214999999997
64, 0.12790205000000002
65, 0.12716149999999998
66, 0.12660654999999998
67, 0.12634525
68, 0.12634525
69, 0.12585304999999997
70, 0.12580684999999997
71, 0.12575275
72, 0.12546905
73, 0.12487319999999999
74, 0.124793
75, 0.12419695
76, 0.12412540000000001
77, 0.12388525000000002
78, 0.12380505
79, 0.12370289999999999
80, 0.12342030000000001
81, 0.12324475000000001
82, 0.12324475000000001
83, 0.12310275000000001
84, 0.12309800000000001
85, 0.12309800000000001
86, 0.12288415000000001
87, 0.12279915000000001
88, 0.12259275
89, 0.12247285000000001
90, 0.12237880000000001
91, 0.12237880000000001
92, 0.12237880000000001
93, 0.12229640000000001
94, 0.12229105
95, 0.12228920000000001
96, 0.12224840000000001
97, 0.12194825000000001
98, 0.12174670000000001
99, 0.12174670000000001
100, 0.12172055
101, 0.12171585
102, 0.12171585
103, 0.12171585
104, 0.12148729999999999
105, 0.12118574999999998
106, 0.12097395
107, 0.1205978
108, 0.1204936
109, 0.1204936
110, 0.1204936
111, 0.1204201
112, 0.1199983
113, 0.11947325000000002
114, 0.11908095
115, 0.11908095
116, 0.1188124
117, 0.11872769999999999
118, 0.1187163
119, 0.11869729999999998
