G, Fitness
0, 0.674348
1, 0.638654
2, 0.575592
3, 0.569173
4, 0.516727
5, 0.51344
6, 0.508637
7, 0.493945
8, 0.483166
9, 0.459174
10, 0.401475
11, 0.401475
12, 0.381676
13, 0.347821
14, 0.347821
15, 0.339288
16, 0.256379
17, 0.256379
18, 0.200105
19, 0.181735
20, 0.1794
21, 0.1794
22, 0.173784
23, 0.155904
24, 0.155904
25, 0.155904
26, 0.147035
27, 0.147035
28, 0.141264
29, 0.136233
30, 0.134932
31, 0.134932
32, 0.134848
33, 0.125762
34, 0.125762
35, 0.124845
36, 0.121039
37, 0.121039
38, 0.121039
39, 0.121039
40, 0.121039
41, 0.11381
42, 0.11381
43, 0.11381
44, 0.113783
45, 0.113783
46, 0.113783
47, 0.113783
48, 0.113783
49, 0.113783
50, 0.111668
51, 0.111668
52, 0.111668
53, 0.111668
54, 0.11096
55, 0.11096
56, 0.11096
57, 0.11096
58, 0.11096
59, 0.11096
60, 0.11096
61, 0.11096
62, 0.11059
63, 0.11059
64, 0.11059
65, 0.11059
66, 0.11059
67, 0.110354
68, 0.104464
69, 0.104464
70, 0.104464
71, 0.104464
72, 0.104464
73, 0.104464
74, 0.104164
75, 0.104164
76, 0.104164
77, 0.104164
78, 0.104164
79, 0.104164
80, 0.104164
81, 0.104164
82, 0.104164
83, 0.103648
84, 0.103648
85, 0.103648
86, 0.103648
87, 0.103648
88, 0.0996013
89, 0.0996013
90, 0.0982926
91, 0.0982926
92, 0.0982926
93, 0.0982926
94, 0.0982926
95, 0.0982926
96, 0.0982926
97, 0.0982926
98, 0.0982926
99, 0.0942008
100, 0.0942008
101, 0.0942008
102, 0.0942008
103, 0.0942008
104, 0.0942008
105, 0.0942008
106, 0.0942008
107, 0.0942008
108, 0.0942008
109, 0.0942008
110, 0.0942008
111, 0.0942008
112, 0.0942008
113, 0.0942008
114, 0.0942008
115, 0.0942008
116, 0.0942008
117, 0.0942008
118, 0.0927478
119, 0.0925124
