G, Fitness
0, 0.680191
1, 0.629208
2, 0.616827
3, 0.546136
4, 0.545029
5, 0.462869
6, 0.418801
7, 0.418801
8, 0.395143
9, 0.388325
10, 0.367562
11, 0.354148
12, 0.351313
13, 0.332617
14, 0.331698
15, 0.31001
16, 0.31001
17, 0.289519
18, 0.289519
19, 0.27682
20, 0.269447
21, 0.25782
22, 0.25782
23, 0.248918
24, 0.248918
25, 0.248918
26, 0.239498
27, 0.239498
28, 0.225011
29, 0.225011
30, 0.225011
31, 0.193811
32, 0.193811
33, 0.193811
34, 0.193811
35, 0.193811
36, 0.193811
37, 0.188458
38, 0.188458
39, 0.185315
40, 0.174311
41, 0.174311
42, 0.174311
43, 0.174311
44, 0.174311
45, 0.167363
46, 0.167363
47, 0.165012
48, 0.165012
49, 0.148518
50, 0.148518
51, 0.136962
52, 0.131848
53, 0.131848
54, 0.131848
55, 0.131848
56, 0.131848
57, 0.131848
58, 0.131496
59, 0.131496
60, 0.131496
61, 0.131496
62, 0.129714
63, 0.129714
64, 0.129714
65, 0.129714
66, 0.129714
67, 0.129714
68, 0.129714
69, 0.128677
70, 0.128677
71, 0.128677
72, 0.127575
73, 0.127575
74, 0.127575
75, 0.127575
76, 0.127575
77, 0.127575
78, 0.127568
79, 0.127568
80, 0.127568
81, 0.127568
82, 0.127568
83, 0.127568
84, 0.127568
85, 0.127257
86, 0.127257
87, 0.127159
88, 0.125077
89, 0.125077
90, 0.125077
91, 0.125077
92, 0.124972
93, 0.124972
94, 0.124972
95, 0.124972
96, 0.124817
97, 0.124817
98, 0.124817
99, 0.124735
100, 0.124735
101, 0.124735
102, 0.124735
103, 0.124735
104, 0.124735
105, 0.124735
106, 0.124038
107, 0.124038
108, 0.124038
109, 0.12378
110, 0.12378
111, 0.123528
112, 0.123528
113, 0.123528
114, 0.123528
115, 0.123395
116, 0.121857
117, 0.121857
118, 0.121857
119, 0.121857
