G, Fitness
0, 0.731684
1, 0.731684
2, 0.694692
3, 0.694692
4, 0.673351
5, 0.670952
6, 0.666515
7, 0.654749
8, 0.654749
9, 0.652065
10, 0.640213
11, 0.640213
12, 0.63672
13, 0.62517
14, 0.62517
15, 0.619204
16, 0.61833
17, 0.612884
18, 0.608544
19, 0.607113
20, 0.606519
21, 0.606519
22, 0.605634
23, 0.602454
24, 0.597147
25, 0.596245
26, 0.595905
27, 0.595905
28, 0.592089
29, 0.592089
30, 0.592075
31, 0.591118
32, 0.579891
33, 0.579697
34, 0.579482
35, 0.579414
36, 0.57918
37, 0.578286
38, 0.577267
39, 0.577267
40, 0.577267
41, 0.577267
42, 0.576237
43, 0.576047
44, 0.576047
45, 0.575597
46, 0.575173
47, 0.575173
48, 0.574283
49, 0.573979
50, 0.573979
51, 0.573979
52, 0.573979
53, 0.572903
54, 0.572903
55, 0.572882
56, 0.572775
57, 0.572775
58, 0.572775
59, 0.572489
60, 0.572489
61, 0.572118
62, 0.57194
63, 0.57194
64, 0.571778
65, 0.571778
66, 0.570794
67, 0.570794
68, 0.570794
69, 0.570794
70, 0.570794
71, 0.570794
72, 0.570675
73, 0.570675
74, 0.570115
75, 0.570115
76, 0.56997
77, 0.56997
78, 0.56997
79, 0.56997
80, 0.56984
81, 0.56984
82, 0.56984
83, 0.569382
84, 0.569382
85, 0.569382
86, 0.569382
87, 0.569382
88, 0.569194
89, 0.569194
90, 0.568624
91, 0.568624
92, 0.568624
93, 0.568624
94, 0.568624
95, 0.568624
96, 0.568624
97, 0.567837
98, 0.567837
99, 0.567837
100, 0.567823
101, 0.567813
102, 0.567334
103, 0.567334
104, 0.567334
105, 0.567334
106, 0.567179
107, 0.567179
108, 0.567179
109, 0.567147
110, 0.566943
111, 0.566923
112, 0.566923
113, 0.566923
114, 0.566923
115, 0.566788
116, 0.566788
117, 0.566788
118, 0.566012
119, 0.566012
