G, Fitness
0, 0.8682785000000001
1, 0.82063615
2, 0.7744063499999999
3, 0.7378955
4, 0.7135646999999999
5, 0.6915778499999999
6, 0.6819459
7, 0.67578405
8, 0.6702207
9, 0.6642827000000001
10, 0.6584859500000001
11, 0.65466745
12, 0.6488525500000001
13, 0.64545465
14, 0.6396237000000001
15, 0.6355883
16, 0.6319526
17, 0.6280924
18, 0.62319595
19, 0.6193917000000001
20, 0.6161622
21, 0.6141001
22, 0.6111493000000001
23, 0.60958405
24, 0.6062952
25, 0.60396225
26, 0.6035214499999999
27, 0.6017053
28, 0.59878575
29, 0.5983482
30, 0.5966573999999999
31, 0.5949403
32, 0.5939702499999999
33, 0.5912834
34, 0.5866563
35, 0.5843470500000001
36, 0.58079575
37, 0.5805022
38, 0.5799994999999999
39, 0.5791472500000001
40, 0.5789947499999999
41, 0.5787962499999999
42, 0.5783818000000001
43, 0.5776800500000001
44, 0.5774040500000001
45, 0.5770867
46, 0.5768662999999999
47, 0.57649135
48, 0.57606895
49, 0.5759375500000001
50, 0.5759223500000001
51, 0.5756121
52, 0.5752638499999999
53, 0.5749890499999999
54, 0.5748513
55, 0.5745440499999999
56, 0.57426585
57, 0.5741075999999998
58, 0.5737910499999999
59, 0.5734869999999999
60, 0.5733208499999999
61, 0.5731678
62, 0.5728335
63, 0.5727221
64, 0.5725746
65, 0.5724954500000001
66, 0.5722904
67, 0.57211535
68, 0.5720384999999999
69, 0.5719162
70, 0.5718188499999999
71, 0.5716924
72, 0.57150085
73, 0.57136535
74, 0.57126525
75, 0.57123725
76, 0.57123
77, 0.5709649999999998
78, 0.5708569499999998
79, 0.5708481499999999
80, 0.5707821999999999
81, 0.5706106499999999
82, 0.5705406
83, 0.570411
84, 0.57037385
85, 0.570284
86, 0.5701151
87, 0.56992435
88, 0.5698855500000001
89, 0.56983245
90, 0.56970895
91, 0.56955225
92, 0.5695203499999999
93, 0.5693568999999999
94, 0.56934505
95, 0.5692313
96, 0.5691819
97, 0.56908855
98, 0.56897365
99, 0.56897365
100, 0.5687749999999999
101, 0.5686038
102, 0.5684252
103, 0.56834135
104, 0.56830785
105, 0.5682763
106, 0.5682052
107, 0.5681616
108, 0.5680343999999999
109, 0.56790425
110, 0.5677679999999999
111, 0.567634
112, 0.5675734
113, 0.5673814
114, 0.5672702500000001
115, 0.56710925
116, 0.5670606
117, 0.56702565
118, 0.5669513500000001
119, 0.5668746
