G, Fitness
0, 0.656875
1, 0.637067
2, 0.546248
3, 0.46368
4, 0.447563
5, 0.43307
6, 0.419647
7, 0.406906
8, 0.406906
9, 0.332725
10, 0.332725
11, 0.311289
12, 0.287494
13, 0.28456
14, 0.28456
15, 0.28456
16, 0.28456
17, 0.274083
18, 0.255384
19, 0.255384
20, 0.254058
21, 0.240637
22, 0.240637
23, 0.240637
24, 0.240637
25, 0.240637
26, 0.240637
27, 0.235744
28, 0.201605
29, 0.19621
30, 0.19621
31, 0.19621
32, 0.190738
33, 0.190738
34, 0.17716
35, 0.17716
36, 0.17716
37, 0.167269
38, 0.167269
39, 0.167269
40, 0.167269
41, 0.167269
42, 0.15794
43, 0.15794
44, 0.15794
45, 0.15794
46, 0.15794
47, 0.15794
48, 0.15794
49, 0.15794
50, 0.15794
51, 0.154467
52, 0.154467
53, 0.154467
54, 0.153439
55, 0.145085
56, 0.145085
57, 0.145085
58, 0.145085
59, 0.145085
60, 0.145085
61, 0.145085
62, 0.13871
63, 0.13871
64, 0.13871
65, 0.13871
66, 0.13871
67, 0.13871
68, 0.137349
69, 0.137349
70, 0.137349
71, 0.137349
72, 0.127486
73, 0.127486
74, 0.127486
75, 0.127486
76, 0.127486
77, 0.127242
78, 0.127242
79, 0.127242
80, 0.127242
81, 0.127242
82, 0.124651
83, 0.124651
84, 0.124651
85, 0.124651
86, 0.12292
87, 0.12292
88, 0.12292
89, 0.12292
90, 0.12292
91, 0.12292
92, 0.120836
93, 0.120836
94, 0.120836
95, 0.120836
96, 0.120836
97, 0.120836
98, 0.120836
99, 0.120836
100, 0.120836
101, 0.120836
102, 0.120836
103, 0.120836
104, 0.120836
105, 0.119053
106, 0.119053
107, 0.119053
108, 0.116058
109, 0.116058
110, 0.116058
111, 0.116058
112, 0.116058
113, 0.116058
114, 0.116058
115, 0.116058
116, 0.116058
117, 0.116058
118, 0.115711
119, 0.115711
