G, Fitness
0, 0.758448
1, 0.738169
2, 0.73349
3, 0.72097
4, 0.72097
5, 0.7111
6, 0.704568
7, 0.688531
8, 0.683059
9, 0.648397
10, 0.647257
11, 0.64615
12, 0.638589
13, 0.638589
14, 0.636908
15, 0.636908
16, 0.633301
17, 0.63067
18, 0.630525
19, 0.621071
20, 0.61587
21, 0.614479
22, 0.614479
23, 0.614479
24, 0.614479
25, 0.611518
26, 0.609937
27, 0.609937
28, 0.609937
29, 0.60797
30, 0.604047
31, 0.601568
32, 0.601568
33, 0.600823
34, 0.600823
35, 0.598791
36, 0.59189
37, 0.59189
38, 0.59189
39, 0.591378
40, 0.589397
41, 0.589397
42, 0.587918
43, 0.584827
44, 0.584827
45, 0.58055
46, 0.58055
47, 0.58055
48, 0.579192
49, 0.579192
50, 0.579192
51, 0.579192
52, 0.579192
53, 0.578524
54, 0.578524
55, 0.578255
56, 0.577711
57, 0.574776
58, 0.574776
59, 0.573151
60, 0.573151
61, 0.573038
62, 0.573038
63, 0.573038
64, 0.571424
65, 0.571424
66, 0.571424
67, 0.571424
68, 0.571424
69, 0.571424
70, 0.571424
71, 0.571424
72, 0.571424
73, 0.571424
74, 0.571424
75, 0.570923
76, 0.57086
77, 0.57086
78, 0.57086
79, 0.57086
80, 0.570463
81, 0.570463
82, 0.570463
83, 0.570463
84, 0.570433
85, 0.570433
86, 0.570433
87, 0.570433
88, 0.570222
89, 0.570222
90, 0.569959
91, 0.569959
92, 0.569959
93, 0.569383
94, 0.569383
95, 0.569161
96, 0.569161
97, 0.569161
98, 0.569161
99, 0.568786
100, 0.568655
101, 0.568655
102, 0.568536
103, 0.568536
104, 0.568536
105, 0.568536
106, 0.568536
107, 0.568536
108, 0.568536
109, 0.568536
110, 0.568536
111, 0.568536
112, 0.568536
113, 0.568536
114, 0.568536
115, 0.568536
116, 0.568536
117, 0.568536
118, 0.568536
119, 0.568536

