G, Fitness
0, 0.760256
1, 0.757908
2, 0.757908
3, 0.733575
4, 0.723905
5, 0.707799
6, 0.703778
7, 0.703778
8, 0.681321
9, 0.672014
10, 0.665595
11, 0.652916
12, 0.638851
13, 0.616413
14, 0.616413
15, 0.613835
16, 0.596222
17, 0.596222
18, 0.596222
19, 0.595582
20, 0.595582
21, 0.594926
22, 0.592235
23, 0.592235
24, 0.592176
25, 0.591441
26, 0.591441
27, 0.58941
28, 0.58941
29, 0.58941
30, 0.58941
31, 0.584782
32, 0.584782
33, 0.584782
34, 0.584619
35, 0.584619
36, 0.584471
37, 0.581588
38, 0.580563
39, 0.579837
40, 0.575435
41, 0.575435
42, 0.574874
43, 0.574874
44, 0.574707
45, 0.574707
46, 0.574685
47, 0.574593
48, 0.57401
49, 0.57401
50, 0.57401
51, 0.57401
52, 0.57307
53, 0.57307
54, 0.572049
55, 0.572049
56, 0.572049
57, 0.570857
58, 0.570857
59, 0.570857
60, 0.570857
61, 0.570857
62, 0.570782
63, 0.570782
64, 0.570782
65, 0.570744
66, 0.570405
67, 0.570405
68, 0.570405
69, 0.569362
70, 0.569362
71, 0.569362
72, 0.569362
73, 0.569333
74, 0.569333
75, 0.569333
76, 0.569333
77, 0.56863
78, 0.56863
79, 0.56863
80, 0.568576
81, 0.568576
82, 0.568576
83, 0.567886
84, 0.567886
85, 0.567886
86, 0.567886
87, 0.567886
88, 0.567886
89, 0.567886
90, 0.567886
91, 0.567886
92, 0.567886
93, 0.567886
94, 0.567728
95, 0.567634
96, 0.567243
97, 0.566697
98, 0.566697
99, 0.566697
100, 0.566697
101, 0.566697
102, 0.566697
103, 0.566592
104, 0.566452
105, 0.566452
106, 0.566406
107, 0.566129
108, 0.566026
109, 0.565951
110, 0.565951
111, 0.565935
112, 0.565935
113, 0.565849
114, 0.565849
115, 0.565849
116, 0.565849
117, 0.565849
118, 0.565849
119, 0.565849
