G, Fitness
0, 0.623266
1, 0.623266
2, 0.623266
3, 0.491031
4, 0.491031
5, 0.477475
6, 0.477475
7, 0.454265
8, 0.432973
9, 0.423901
10, 0.385526
11, 0.35894
12, 0.32205
13, 0.32205
14, 0.301052
15, 0.296622
16, 0.285669
17, 0.274042
18, 0.2622
19, 0.2622
20, 0.260773
21, 0.241447
22, 0.223529
23, 0.223529
24, 0.223529
25, 0.223529
26, 0.201685
27, 0.20129
28, 0.189784
29, 0.176798
30, 0.176798
31, 0.176798
32, 0.176798
33, 0.169105
34, 0.160537
35, 0.155143
36, 0.133287
37, 0.133287
38, 0.131888
39, 0.131888
40, 0.131888
41, 0.131888
42, 0.131888
43, 0.125596
44, 0.125596
45, 0.0928288
46, 0.0928288
47, 0.0928288
48, 0.0920365
49, 0.0824902
50, 0.0824902
51, 0.0824902
52, 0.0729015
53, 0.0729015
54, 0.0729015
55, 0.0693376
56, 0.0693376
57, 0.0693376
58, 0.0693376
59, 0.0668792
60, 0.0668792
61, 0.0668792
62, 0.0668792
63, 0.0668792
64, 0.0663209
65, 0.0663209
66, 0.0663209
67, 0.0663209
68, 0.0663209
69, 0.0650494
70, 0.0650494
71, 0.0650418
72, 0.0641861
73, 0.0641861
74, 0.0635958
75, 0.0635958
76, 0.0635958
77, 0.0635958
78, 0.0622724
79, 0.0622724
80, 0.0622724
81, 0.0622724
82, 0.0622724
83, 0.0622724
84, 0.0622724
85, 0.0621716
86, 0.0621716
87, 0.0621716
88, 0.0613736
89, 0.0613736
90, 0.0613736
91, 0.0613736
92, 0.0613736
93, 0.061323
94, 0.0539165
95, 0.0539165
96, 0.0539165
97, 0.0539165
98, 0.0502536
99, 0.0502536
100, 0.0502536
101, 0.0502536
102, 0.0502536
103, 0.0502536
104, 0.0502536
105, 0.0480174
106, 0.0445999
107, 0.0445999
108, 0.0445999
109, 0.0441005
110, 0.0441005
111, 0.0441005
112, 0.0441005
113, 0.0441005
114, 0.0441005
115, 0.0441005
116, 0.0441005
117, 0.0434446
118, 0.0434446
119, 0.0423029
