G, Fitness
0, 0.737889
1, 0.685778
2, 0.678607
3, 0.655597
4, 0.619205
5, 0.595474
6, 0.595474
7, 0.568487
8, 0.565806
9, 0.553398
10, 0.501881
11, 0.501881
12, 0.501881
13, 0.454473
14, 0.434262
15, 0.431318
16, 0.423726
17, 0.381859
18, 0.381859
19, 0.381859
20, 0.373001
21, 0.365363
22, 0.338367
23, 0.338367
24, 0.27639
25, 0.27639
26, 0.27639
27, 0.267829
28, 0.261328
29, 0.257071
30, 0.240707
31, 0.233652
32, 0.233652
33, 0.227359
34, 0.220877
35, 0.220393
36, 0.219916
37, 0.209847
38, 0.209847
39, 0.209847
40, 0.209847
41, 0.209847
42, 0.209847
43, 0.20464
44, 0.202471
45, 0.200887
46, 0.200887
47, 0.200887
48, 0.200764
49, 0.181844
50, 0.181844
51, 0.176065
52, 0.175186
53, 0.156012
54, 0.156012
55, 0.156012
56, 0.156012
57, 0.154531
58, 0.152796
59, 0.152664
60, 0.152664
61, 0.152664
62, 0.1503
63, 0.123988
64, 0.123988
65, 0.085698
66, 0.085698
67, 0.085698
68, 0.0856261
69, 0.0843548
70, 0.0843548
71, 0.0811338
72, 0.0811338
73, 0.0811338
74, 0.0749233
75, 0.0749233
76, 0.072354
77, 0.0694333
78, 0.0661984
79, 0.0563077
80, 0.0563077
81, 0.0563077
82, 0.05579
83, 0.05579
84, 0.05579
85, 0.05579
86, 0.05579
87, 0.0537894
88, 0.0537894
89, 0.0537894
90, 0.0506601
91, 0.0506601
92, 0.0506601
93, 0.0478583
94, 0.0478583
95, 0.0478583
96, 0.0431454
97, 0.0431454
98, 0.0431454
99, 0.0431454
100, 0.0415967
101, 0.0411318
102, 0.0374543
103, 0.0359193
104, 0.0359193
105, 0.0359193
106, 0.0359193
107, 0.0346126
108, 0.0346126
109, 0.0346126
110, 0.0346126
111, 0.0346126
112, 0.0346126
113, 0.0346126
114, 0.0342249
115, 0.0342249
116, 0.0342249
117, 0.0342249
118, 0.0323565
119, 0.0319659
