G, Fitness
0, 0.641538
1, 0.602032
2, 0.58788
3, 0.56952
4, 0.530572
5, 0.530572
6, 0.501233
7, 0.494274
8, 0.481923
9, 0.453168
10, 0.449497
11, 0.434762
12, 0.418687
13, 0.401838
14, 0.372985
15, 0.372985
16, 0.372533
17, 0.371078
18, 0.344077
19, 0.344077
20, 0.344077
21, 0.328466
22, 0.317039
23, 0.288756
24, 0.288039
25, 0.284204
26, 0.282448
27, 0.282448
28, 0.267613
29, 0.267613
30, 0.267613
31, 0.225901
32, 0.225901
33, 0.214985
34, 0.193481
35, 0.182095
36, 0.182095
37, 0.182095
38, 0.182095
39, 0.181511
40, 0.157138
41, 0.157138
42, 0.157138
43, 0.150577
44, 0.148817
45, 0.144025
46, 0.12827
47, 0.128193
48, 0.128193
49, 0.119028
50, 0.119028
51, 0.119028
52, 0.117955
53, 0.109449
54, 0.109449
55, 0.0946085
56, 0.0946085
57, 0.0946085
58, 0.0854391
59, 0.0854391
60, 0.0854391
61, 0.0854391
62, 0.0751628
63, 0.0751628
64, 0.0724518
65, 0.0704315
66, 0.0704315
67, 0.0704315
68, 0.0664237
69, 0.0664237
70, 0.0602293
71, 0.0602293
72, 0.0602293
73, 0.0555365
74, 0.0546301
75, 0.0546301
76, 0.0545274
77, 0.0545274
78, 0.0508276
79, 0.0508276
80, 0.0508276
81, 0.0508276
82, 0.0508276
83, 0.0508276
84, 0.0508276
85, 0.0508276
86, 0.0508276
87, 0.0487318
88, 0.0487318
89, 0.0487318
90, 0.0487318
91, 0.0473105
92, 0.0473105
93, 0.0473105
94, 0.0473105
95, 0.0473105
96, 0.0473105
97, 0.0473105
98, 0.0473105
99, 0.0473105
100, 0.0463683
101, 0.0384432
102, 0.0384432
103, 0.0384432
104, 0.0384432
105, 0.0384432
106, 0.0379897
107, 0.0374764
108, 0.0370314
109, 0.0361661
110, 0.0361661
111, 0.0361661
112, 0.0361661
113, 0.0360781
114, 0.0360781
115, 0.0360781
116, 0.0360781
117, 0.0360781
118, 0.0360781
119, 0.0360781
